Measure Mode: wall_time
Thread ID: 6893780
Fiber ID: 8630140
Total: 109.009418
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.03      0.482     0.032     0.000     0.450     7778  *Array#each
  0.03      0.049     0.032     0.000     0.017    38550   Gem::Text#min3
  0.03      0.032     0.032     0.000     0.000   162342   Fixnum#+
  0.02      0.027     0.027     0.000     0.000      436   Module#name
  0.02      0.105     0.022     0.000     0.083       84   Kernel#eval
  0.02      0.020     0.020     0.000     0.000     6473   Symbol#to_s
  0.02      0.017     0.017     0.000     0.000    99553   Fixnum#<
  0.02      0.016     0.016     0.000     0.000    50919   String#==
  0.01      0.377     0.014     0.000     0.363     9199  *Class#new
  0.01      0.013     0.013     0.000     0.000    77459   Array#[]
  0.01      0.219     0.013     0.000     0.206    17256  *String#each_char
  0.01      0.030     0.013     0.000     0.017     5010  *Kernel#dup
  0.01      0.012     0.012     0.000     0.000     6958   Module#method_added
  0.01      0.012     0.012     0.000     0.000    10569   Symbol#to_sym
  0.01      0.018     0.012     0.000     0.007     6549   Hash#[]=
  0.01      1.432     0.011     0.000     1.421     1186  *Kernel#require
  0.01      0.132     0.011     0.000     0.121      286  *Module#module_eval
  0.01      0.010     0.010     0.000     0.000      994   IO#set_encoding
  0.01      0.019     0.010     0.000     0.009     5246  *Kernel#initialize_dup
  0.01      0.010     0.010     0.000     0.000     3140   String#gsub
  0.01      0.009     0.009     0.000     0.000     4896   BasicObject#!
  0.01      0.009     0.009     0.000     0.000     3373   Regexp#=~
  0.01      0.008     0.008     0.000     0.000    46280   Array#[]=
  0.01      0.011     0.007     0.000     0.004     2801  *Hash#each
  0.01      0.029     0.007     0.000     0.022    13493   Hash#[]
  0.01      0.007     0.007     0.000     0.000     2603   Kernel#instance_variable_set
  0.01      0.006     0.006     0.000     0.000     1531   String#sub
  0.01      0.008     0.006     0.000     0.002      978   Module#define_method
  0.01      0.006     0.006     0.000     0.000     1375   String#tr
  0.01      0.018     0.006     0.000     0.012     1299   BinData::SanitizedParameters#ensure_mandatory_parameters_exist
  0.01      0.006     0.006     0.000     0.000    10781   Kernel#nil?
  0.00      0.083     0.005     0.000     0.078       85   Gem::Specification#initialize
  0.00      0.005     0.005     0.000     0.000       90   <Class::IO>#read
  0.00      0.005     0.005     0.000     0.000     3073   String#freeze
  0.00      0.005     0.005     0.000     0.000     5788   Kernel#hash
  0.00      0.005     0.005     0.000     0.000     2711   String#to_s
  0.00      0.008     0.005     0.000     0.003      156  *Module#class_eval
  0.00      0.005     0.005     0.000     0.000     1396   Array#flatten
  0.00      0.032     0.005     0.000     0.028     1741   Array#map
  0.00      0.005     0.005     0.000     0.000     2667   String#initialize_copy
  0.00      0.005     0.005     0.000     0.000     1700   Gem::Specification#default_value
  0.00      0.005     0.005     0.000     0.000       92   File#initialize
  0.00      0.010     0.004     0.000     0.005     3568  *BinData::DSLMixin::DSLParser#endian
  0.00      0.004     0.004     0.000     0.000     2083   Array#sort
  0.00      0.004     0.004     0.000     0.000     5048   String#hash
  0.00      0.004     0.004     0.000     0.000     5387   BinData::DSLMixin::DSLParser#parser_abilities
  0.00      0.004     0.004     0.000     0.000     9274   Module#===
  0.00      0.013     0.004     0.000     0.009     4832   BinData::DSLMixin::DSLParser#option?
  0.00      0.004     0.004     0.000     0.000     6716   Array#include?
  0.00      0.004     0.004     0.000     0.000     2021   Array#first
  0.00      0.014     0.004     0.000     0.010     1801   Gem::Version#version
  0.00      0.142     0.004     0.000     0.138     1098  *BinData::SanitizedPrototype#initialize
  0.00      0.017     0.004     0.000     0.013     1345   Hash#each_pair
  0.00      0.005     0.004     0.000     0.001      361   Kernel#define_singleton_method
  0.00      0.031     0.004     0.000     0.027     1366   BinData::Registry#underscore_name
  0.00      0.003     0.003     0.000     0.000     5927   Kernel#is_a?
